@relation 100dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute dim41 numeric
@attribute dim42 numeric
@attribute dim43 numeric
@attribute dim44 numeric
@attribute dim45 numeric
@attribute dim46 numeric
@attribute dim47 numeric
@attribute dim48 numeric
@attribute dim49 numeric
@attribute dim50 numeric
@attribute dim51 numeric
@attribute dim52 numeric
@attribute dim53 numeric
@attribute dim54 numeric
@attribute dim55 numeric
@attribute dim56 numeric
@attribute dim57 numeric
@attribute dim58 numeric
@attribute dim59 numeric
@attribute dim60 numeric
@attribute dim61 numeric
@attribute dim62 numeric
@attribute dim63 numeric
@attribute dim64 numeric
@attribute dim65 numeric
@attribute dim66 numeric
@attribute dim67 numeric
@attribute dim68 numeric
@attribute dim69 numeric
@attribute dim70 numeric
@attribute dim71 numeric
@attribute dim72 numeric
@attribute dim73 numeric
@attribute dim74 numeric
@attribute dim75 numeric
@attribute dim76 numeric
@attribute dim77 numeric
@attribute dim78 numeric
@attribute dim79 numeric
@attribute dim80 numeric
@attribute dim81 numeric
@attribute dim82 numeric
@attribute dim83 numeric
@attribute dim84 numeric
@attribute dim85 numeric
@attribute dim86 numeric
@attribute dim87 numeric
@attribute dim88 numeric
@attribute dim89 numeric
@attribute dim90 numeric
@attribute dim91 numeric
@attribute dim92 numeric
@attribute dim93 numeric
@attribute dim94 numeric
@attribute dim95 numeric
@attribute dim96 numeric
@attribute dim97 numeric
@attribute dim98 numeric
@attribute dim99 numeric
@attribute dim100 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}
@attribute class5 {1,2}
@attribute class6 {1,2}
@attribute class7 {1,2}
@attribute class8 {1,2}
@attribute class9 {1,2}
@attribute class10 {1,2}

@data
69.749875,93.326127,111.888,106.929325,129.544817,116.622517,136.614476,131.767826,132.038542,147.14132,53.026984,62.195286,66.751247,66.157468,68.963294,70.913722,74.217993,74.964121,69.526253,75.80456,38.346623,43.774783,70.318093,59.523184,74.044957,71.025655,77.195365,78.741276,84.376724,80.789227,38.062693,24.610567,50.476014,86.447305,51.92774,39.810757,65.225065,85.721237,79.979012,75.032318,53.199968,54.830057,85.48882,106.260384,112.322379,88.194473,96.587467,119.495103,118.42597,119.92481,48.551981,23.595824,70.877007,29.433543,35.845393,74.23957,43.5522,75.955035,78.88804,86.60342,42.838028,76.412131,55.451953,69.770783,79.948548,88.836985,87.890087,83.872014,87.581661,83.911213,50.734228,46.189777,69.559446,60.414951,57.739804,98.91521,66.593337,93.85434,116.644016,101.900756,48.701734,62.618205,59.409992,66.32403,62.606602,70.057531,70.377838,74.074991,68.836813,69.155603,32.589738,67.737947,84.879111,94.125812,77.238616,82.393269,85.226372,85.549458,117.756406,121.432078,1,2,1,1,2,2,2,1,2,2
70.968283,94.214493,111.935204,109.366822,131.197872,118.155599,137.243839,134.212079,133.098022,149.732526,36.839722,48.864715,53.167238,60.89488,65.725929,64.059489,60.544557,72.483241,68.503422,75.373692,32.253126,55.154151,68.120841,75.800952,65.937946,73.990631,73.808302,79.401124,88.788962,90.080319,75.096066,61.501573,82.284459,79.160171,99.912081,88.129395,107.12869,108.641723,122.423307,101.711072,54.138594,56.960389,87.535185,108.07422,112.46306,88.9398,99.896871,120.898566,119.225819,120.894932,45.818277,81.460887,78.655911,75.389463,101.197006,83.396261,80.427249,85.745427,102.532027,76.194768,40.218645,76.581903,54.828292,68.819095,77.425881,88.643637,86.180057,81.280764,88.24078,84.235961,75.205842,80.729124,75.236688,69.436426,108.309488,102.72158,87.173353,105.166603,114.75068,91.297791,49.076303,62.866105,59.575864,66.541394,62.848162,70.37179,70.720145,74.144689,69.324953,69.660856,32.472573,67.906637,84.851935,93.101265,78.233705,82.807653,84.590698,87.564097,117.834382,121.301893,1,1,2,2,2,1,2,2,2,2
69.895344,93.442203,111.919359,107.476699,130.112141,117.451051,137.217165,132.251384,132.119568,147.749717,51.392808,60.882855,65.07414,64.729499,67.322843,69.405844,72.236718,73.567083,68.073358,74.300301,38.816143,45.915445,71.266056,60.433161,73.893191,71.168154,77.19158,79.378591,85.745398,81.476372,73.120227,60.975007,81.81459,80.645575,99.038303,85.940704,107.66023,108.259782,120.983612,100.343843,39.370828,29.530544,60.961043,31.303288,75.184103,64.35815,41.058384,59.897317,91.800759,64.423588,50.474366,22.455468,71.318427,29.262026,35.243188,76.512064,46.945416,77.736201,78.831525,86.376145,43.028135,76.461601,56.211853,68.92739,78.132613,88.198613,86.593351,81.778303,88.875926,83.242414,72.995186,79.001109,74.629199,67.501126,108.076808,102.790979,87.324769,104.069205,112.90583,90.215767,63.191553,91.622354,114.894313,120.235207,119.140661,110.844321,128.003315,122.917487,118.42504,121.135433,23.160871,45.573536,61.937696,67.103321,78.148025,74.353672,76.359072,71.62744,90.479412,76.940138,1,2,1,2,1,2,2,2,1,1
72.020076,95.987313,114.216077,111.304352,133.201201,119.981092,139.001672,134.294566,134.137139,150.098442,51.150244,60.741591,65.126098,64.515467,67.008543,69.11941,72.029021,73.261953,68.008744,74.373186,32.073917,55.175439,67.69923,75.825991,66.215844,74.49625,73.581842,79.490892,88.604659,89.907921,37.72285,24.809625,47.132343,85.386054,50.391118,39.538963,63.079168,83.693237,78.826919,74.945241,40.551472,31.183521,60.479795,31.722038,76.778111,67.279994,41.691038,60.847515,92.27071,63.959854,45.068984,81.661702,76.697531,75.745398,100.873397,81.958271,79.800714,85.417654,102.287113,75.361239,42.093785,76.272404,56.407605,70.250578,77.910391,88.867484,85.876884,82.308747,88.154277,82.358573,50.25055,46.374455,68.405552,61.126818,58.118269,97.914432,65.701805,93.303073,117.406329,101.329648,63.080686,91.938568,115.043768,121.14916,119.82106,110.816199,128.529385,124.431493,120.243638,121.684577,22.84926,46.15226,61.568685,66.731027,78.440688,74.221901,75.272582,71.602959,90.334787,77.399813,1,2,2,1,1,1,2,1,1,1
67.817269,92.129093,110.357595,106.532137,127.919742,114.532889,134.704214,130.427716,130.315603,146.798776,36.705005,49.427772,53.294743,60.55947,66.204038,63.343159,60.517107,73.010268,68.221637,75.447599,32.041564,54.084117,67.754441,75.418947,65.92722,74.26315,73.752413,78.947146,87.955403,88.873337,37.278837,25.179207,47.083021,86.745507,50.539377,39.458083,64.519453,85.910521,79.111484,74.381913,39.530744,28.458824,61.764256,31.426874,79.131252,65.669567,42.672762,62.197951,94.075118,64.492613,51.152011,23.165618,72.198105,29.780653,34.973714,74.24784,46.126044,77.601697,77.547905,85.2031,43.123616,77.444971,55.888626,70.398827,78.564301,89.537113,86.821949,82.655729,89.110751,84.376764,51.66961,46.163627,68.532615,61.651355,57.509,98.143126,67.045742,94.928191,114.864116,101.849396,48.814911,62.260771,59.406823,66.192987,62.350392,69.744016,70.599179,73.636143,68.785964,69.213151,33.08415,69.210874,86.09445,93.825749,78.276189,81.969083,84.709537,87.344353,118.384805,122.910042,1,1,2,1,1,2,2,1,2,2
69.997667,92.519598,112.607097,108.867138,130.441234,116.25942,136.159853,132.618399,132.89349,148.624862,37.354077,50.022955,54.472398,62.278864,66.899201,64.604232,61.586564,74.098365,69.268573,75.754534,39.720647,45.36908,71.886784,60.84115,75.519815,72.347454,78.140819,80.093672,86.373218,82.434291,36.972332,24.610418,48.190999,86.476229,50.434325,38.571629,64.269508,86.486588,78.356628,74.256457,53.487248,54.688924,86.598411,106.669661,112.465102,88.238344,98.034372,120.428523,118.707397,120.748258,46.702582,82.008507,79.458557,78.405167,103.241307,83.662727,82.973491,87.536606,103.453453,76.087539,41.127527,77.098583,55.862714,68.786337,78.737212,88.886912,84.80119,80.927984,87.214309,83.043913,75.613897,80.740544,75.150131,70.227332,108.14516,104.567102,87.84055,108.024093,112.681195,89.253308,63.285875,93.072906,115.374946,122.352028,120.412274,111.450899,129.911308,123.165501,120.760753,122.127715,34.329884,69.433694,86.469964,93.975754,79.589655,83.400192,85.795083,89.619444,119.111739,122.388184,1,1,1,1,2,1,2,2,1,2
70.783583,93.855135,112.265804,109.211133,130.465132,116.231162,137.091208,132.755888,132.572242,147.948043,37.838265,50.549739,54.088314,62.371924,67.099555,65.203508,61.823976,73.915878,69.826456,76.69035,31.134329,53.358622,66.227805,74.813385,64.623597,72.806459,73.316574,77.751812,87.27933,87.941891,35.998142,24.566664,47.175158,87.062871,49.411051,40.623726,63.231962,85.916158,79.197135,73.650201,52.855696,55.17291,86.065014,105.763146,111.81655,87.826946,97.999769,118.45811,116.950561,119.470382,48.780999,23.097557,73.254772,28.837913,34.522487,76.909377,46.121036,77.046403,79.632258,85.990887,42.679425,76.82344,55.416121,70.891773,77.484177,88.680007,85.445723,80.540232,87.62049,84.831851,75.288182,79.546543,75.216861,69.546533,108.316558,103.345519,87.657358,104.920492,111.920258,91.311107,48.467356,62.290319,59.439518,66.023521,62.565368,69.595138,70.303453,73.617848,68.820743,68.955571,21.475694,45.230811,61.053436,65.388113,77.915781,72.738818,76.137565,71.446026,89.099563,76.241828,1,1,2,1,2,2,2,2,2,1
70.40898,94.297545,111.899553,109.057555,130.566749,117.934378,137.557706,132.567541,133.051704,148.364068,36.045661,48.241816,52.686656,60.326923,65.520396,63.406454,60.070253,73.008747,68.270409,74.757237,40.037672,45.196234,71.495163,61.443906,74.533428,72.089159,76.957563,79.518851,84.905157,81.494565,37.296434,25.795917,49.502643,88.347888,52.029137,38.9685,63.974315,86.628878,80.036759,74.338279,52.815306,56.236792,86.099909,107.364615,111.466255,88.101174,99.171547,120.251106,120.07127,121.134755,44.305305,81.612594,76.910787,76.819455,102.757535,84.034063,77.909713,85.843285,102.816148,75.676168,39.45481,60.495956,78.831317,94.649113,104.41826,93.447704,108.111697,89.566617,92.752632,111.348836,75.039676,78.869104,75.950046,69.342498,109.015826,102.619416,85.47665,103.943026,112.813759,90.041126,47.827596,61.69371,58.508671,64.985835,61.537222,68.935456,69.265262,72.382951,67.746141,68.247703,32.211903,66.960663,84.167321,92.975391,76.732273,82.597858,83.371465,85.839092,117.624836,122.538077,1,1,1,1,2,1,1,2,2,2
68.280819,92.599979,111.556618,108.105851,129.041236,116.146669,136.618778,132.411647,131.607445,147.419582,37.483324,49.636216,54.195923,61.096989,67.139797,64.798107,60.8351,73.248519,68.87292,75.883679,32.115055,53.590546,66.517624,74.719083,65.733201,73.80351,73.231739,79.137513,88.122384,88.47419,74.680503,59.63565,81.852871,79.905463,99.443007,86.824393,106.487543,108.473599,122.536336,100.286241,52.408995,54.641214,85.444792,105.764352,109.657236,87.818363,97.445191,118.428469,117.250964,119.573603,50.108076,22.630691,72.963548,29.936849,33.847723,74.717346,43.671418,77.0335,78.202097,85.164582,41.177433,76.864115,56.998871,66.703273,78.965477,87.943449,85.024363,82.653951,86.391373,84.552701,73.650156,80.460458,74.663261,68.020726,108.200586,104.043267,88.82768,103.769329,113.528885,91.245741,48.476546,62.124829,59.099064,66.03781,62.059846,69.476329,69.955353,73.364195,68.195331,68.72748,21.317166,43.475856,59.760345,64.632253,77.545421,72.442377,74.080775,70.508334,89.250783,75.19062,1,1,2,2,2,2,2,2,2,1
69.047427,92.321169,111.015018,108.246123,129.378429,115.805271,135.604514,132.604781,131.774983,147.575204,51.729448,61.391354,65.521383,65.232383,67.903264,69.80985,72.656579,74.000856,68.599213,74.710552,31.806797,54.220585,66.882297,74.554135,64.852987,73.638422,73.891086,78.288771,87.659294,88.701455,37.809281,24.684672,49.348053,86.782258,48.643846,40.037086,64.255469,85.10852,80.450466,72.23256,53.669884,55.420767,87.33859,107.014685,110.449041,87.803003,97.323256,120.229957,117.959884,120.489884,52.051685,22.998094,73.956314,29.801742,34.425767,76.997307,44.081486,75.931566,77.439845,85.931252,36.97119,58.652046,76.391727,92.545679,101.477429,91.365614,106.478928,89.10792,90.677746,109.985185,50.871161,48.146065,68.810465,61.572207,59.847134,98.890269,65.105466,93.664317,117.065959,101.315616,47.909258,61.717433,58.398948,65.518077,61.798702,69.128232,69.509542,72.837588,67.996653,68.239713,31.539168,66.270641,84.084046,92.107822,76.164307,80.708972,82.728004,85.514676,116.93468,120.794528,1,2,2,1,2,2,1,1,2,2
69.815829,94.694644,112.192487,109.987833,131.321265,117.413881,138.4805,134.368282,132.927041,148.510145,36.914444,49.857276,53.799891,61.458876,66.18056,64.264109,61.022734,73.751856,68.925358,75.994472,39.129242,45.095765,72.050146,61.209754,74.404211,72.23685,77.037811,79.56661,86.189656,81.860912,36.521731,23.513206,47.662131,86.952894,50.303648,39.207279,63.456841,86.056105,80.754708,73.722114,40.102173,31.234902,59.728546,32.109189,76.877437,66.738274,43.484622,60.261577,92.618848,63.456718,43.949522,82.34399,78.50358,75.327161,102.928643,81.833017,80.660834,85.761033,102.362422,76.637595,38.902141,60.884279,77.844384,95.050539,104.408791,93.713874,108.453985,89.175057,92.066217,112.079655,74.971291,79.058204,74.129095,68.66313,108.38354,103.417073,86.319241,104.534484,112.63324,90.213604,49.310188,62.895665,59.928297,66.720899,63.089755,70.153287,70.898435,74.211107,69.246827,69.742015,32.901883,67.083828,84.577826,92.934508,78.369467,80.557437,84.939013,87.091345,117.143233,121.848813,1,1,1,1,1,1,1,2,2,2
