@relation 40dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}

@data
59.57425,69.433841,72.948155,83.11758,86.286426,79.885032,90.229184,91.362886,93.254655,98.133926,34.992228,45.007908,78.200703,75.82584,78.882627,111.517948,91.499125,81.341654,121.227373,106.582104,35.733658,47.286866,55.605707,51.124112,53.112658,61.215428,64.46874,64.780142,65.530017,63.000192,28.346856,38.779986,57.155048,66.757118,61.754458,70.511156,75.14038,86.913163,74.186409,88.25712,1,2,1,2
58.644377,68.618335,72.237894,82.212717,85.304098,78.764622,89.648406,90.449596,92.351921,97.199286,76.973635,72.950858,73.12655,68.721821,99.383015,99.683145,110.368345,126.599421,116.423986,115.561568,44.450199,40.026737,70.353496,64.848738,90.226999,88.945209,89.640918,116.101889,108.321296,89.728413,24.503234,34.831966,54.190642,63.052566,57.988745,66.893449,70.583532,82.849395,69.793915,85.897499,1,1,2,2
58.20466,68.402183,71.837103,81.430579,85.463033,78.407211,88.784218,90.338667,92.304191,96.870527,37.065043,46.898558,79.640041,76.853517,78.693575,113.341352,92.443228,83.097546,121.889425,107.979826,38.490064,50.417249,58.242906,53.997323,55.99794,64.364862,67.544892,67.622868,68.139486,66.497401,54.790031,61.835219,87.37639,101.19027,115.082564,118.710636,115.884337,98.966212,107.141185,130.260205,1,2,1,1
60.908996,70.648994,73.810162,84.088235,87.226265,80.263559,91.260086,92.519365,94.769356,98.624269,34.355484,44.995769,77.91915,74.333147,77.896562,110.218266,92.159855,81.680636,119.239966,106.118435,45.642151,39.976251,71.560927,64.235712,89.524663,87.396841,90.619669,118.618562,108.588104,89.74797,29.190697,39.869942,57.683811,67.194767,63.358194,72.358252,75.792893,87.781107,74.78403,90.050164,1,2,2,2
57.304295,67.668919,71.515488,81.28783,84.354504,78.454512,88.496451,89.982479,91.829164,96.440016,76.100486,72.378479,72.512169,67.700423,99.247856,98.941238,111.800618,125.55133,117.092086,116.261627,43.038421,38.023472,70.964749,63.583718,85.871591,88.491574,89.914079,116.201472,106.627805,89.140025,53.755209,60.685882,85.651998,98.870983,113.797963,118.543905,113.591644,98.137152,105.905348,129.37146,1,1,2,1
59.014102,69.069148,72.692803,82.83684,85.273147,79.158059,89.870599,90.861849,93.05509,98.082302,34.306123,45.48599,78.855768,74.59512,78.311912,111.14177,92.560177,82.574438,118.117376,106.646121,36.115326,47.700902,55.512071,51.59773,53.138234,61.368658,64.599571,64.972999,65.652018,63.531094,53.974489,59.940814,85.31522,100.665831,114.718284,118.431135,113.872692,98.666271,105.457622,129.549325,1,2,1,1
60.028075,70.528665,73.663573,83.810722,86.958797,80.418117,90.902171,92.148065,94.779485,98.861134,32.733943,45.780356,77.092436,73.873177,77.851537,110.16292,91.851108,79.644937,120.867938,107.129618,44.692217,38.502484,72.655911,63.605012,88.607334,89.404133,91.624192,117.133392,107.960644,88.894029,52.938945,59.617711,85.61432,97.786549,111.82383,117.741951,113.549201,97.143842,104.901506,128.272419,1,2,2,1
59.261961,68.90508,72.139876,82.341446,85.224862,78.942473,89.275817,90.299901,92.831795,97.760784,33.587581,44.850148,78.378878,74.544313,76.637724,109.6494,91.747458,80.08257,120.136671,105.427574,37.461331,48.975615,57.510584,53.187379,55.095268,63.200226,66.4852,66.517921,67.395868,65.389274,27.695174,37.507627,56.243735,65.500001,59.766361,70.598969,73.844717,85.54821,72.82481,87.96669,1,2,1,2
60.646938,70.681378,74.260746,84.052771,87.406681,80.974205,91.260599,92.587753,94.512219,98.93361,35.892022,45.272793,78.679212,75.55764,78.772676,109.744328,91.759606,81.090357,118.852134,107.842977,36.620249,48.546541,56.385791,52.035068,54.440163,62.336958,65.598804,65.831761,66.649205,64.558797,56.265424,62.551506,87.394693,100.895009,116.707802,119.806814,116.154103,100.655829,108.941193,131.137861,1,2,1,1
61.048647,71.675727,74.756918,85.333204,88.470732,81.99359,92.34912,93.423955,95.659211,100.347521,76.314838,71.299428,72.126238,66.778313,100.32146,99.438133,112.360915,126.429094,118.741941,115.501591,36.85794,49.257499,57.017038,53.023574,54.863851,62.830474,65.792995,66.55542,67.037436,65.058467,27.246715,37.565079,56.20056,65.426683,60.5345,69.021568,73.658175,85.347492,72.894488,88.100749,1,1,1,2
61.091067,71.038234,74.490543,84.572566,87.575681,80.95423,91.434866,92.762888,95.383757,99.567689,34.346529,45.674353,79.348583,74.204639,78.021774,111.747315,92.673162,80.940097,119.755349,108.312125,46.049601,40.656879,71.663301,63.910921,87.821287,87.284514,90.41787,117.53578,110.115149,89.502232,53.231803,60.232475,84.832955,99.068913,113.959891,118.184561,114.049403,97.511058,106.552774,128.753092,1,2,2,1
58.715284,68.533793,72.20245,81.714211,84.936963,78.738351,89.580649,90.630466,92.21858,97.140615,76.540443,70.330187,72.024591,68.940962,100.890466,100.378301,110.702071,125.027371,118.304718,115.282994,43.737303,39.596946,70.566938,63.444985,88.755682,88.94919,90.192631,116.266422,108.09971,89.919426,53.248147,60.018794,84.001109,98.272066,114.220742,117.040351,114.712223,97.989315,106.378545,128.95574,1,1,2,1
57.763902,67.915585,71.427282,81.5241,84.931267,78.458088,88.50478,89.799559,92.111775,96.425727,36.399255,47.391883,79.706987,77.274617,78.802039,112.79318,94.350373,83.453202,120.354531,109.733135,44.776692,38.31891,69.678021,62.036077,88.767541,85.906145,90.016133,115.975728,107.751541,88.048551,53.414874,61.120467,83.816608,100.501963,114.153688,117.608293,115.864164,98.54273,107.132714,131.507055,1,2,2,1
59.490282,69.404608,72.950538,82.97583,85.775552,79.526346,89.798643,91.252844,93.577975,98.077924,76.694936,72.366435,71.714863,68.024105,98.369813,99.633812,110.441343,124.231731,116.728645,116.414851,44.329617,39.059764,71.165583,62.805702,88.421104,87.707827,90.725194,117.303572,105.503503,88.58409,53.824453,61.331022,85.980016,99.58242,115.053176,117.578215,113.094425,97.611063,106.915079,130.090629,1,1,2,1
60.144935,70.725413,73.88384,83.685498,86.565309,80.13281,90.548424,92.180641,93.846093,98.447955,35.070834,47.178401,79.240611,74.82209,77.928656,112.144663,90.615834,81.636299,119.940775,107.979731,46.802368,41.410545,72.393387,65.078987,89.696081,90.39253,91.581711,117.643836,109.210356,88.859296,27.70168,38.774244,57.406011,66.01595,61.827581,70.44732,74.468531,87.154046,73.519416,89.300311,1,2,2,2
58.79702,68.823643,71.765906,82.072824,85.228902,78.60918,89.152837,90.47179,92.808426,97.151523,77.388158,71.968126,71.209442,67.271682,100.469282,99.390914,111.556029,126.63579,119.000806,113.369035,45.454088,39.228889,72.850524,64.624913,88.62363,90.145898,91.845041,117.825813,108.886812,88.822891,26.015988,36.968592,54.876375,64.385857,59.991675,68.474088,73.127331,85.413009,71.207092,87.068955,1,1,2,2
60.52073,70.787669,74.305666,84.360118,87.925165,80.630307,91.410479,92.759255,95.237966,99.30646,75.609567,73.634881,72.214585,66.183465,99.782303,98.754395,110.184951,125.415907,117.550613,113.779303,38.163396,49.994914,58.077555,53.65783,55.828822,63.596444,66.774783,67.33712,67.783294,66.132623,54.267137,60.81209,85.353629,99.730324,115.648803,119.702756,115.153821,99.190376,106.980068,129.333777,1,1,1,1
59.045021,68.927422,72.394187,82.242636,85.692243,79.094101,89.681959,91.217099,93.140517,97.484371,76.945115,71.074035,73.181636,67.91963,100.459881,99.232317,112.488944,125.860139,117.878753,114.562203,44.341234,36.335878,69.66261,63.030651,87.307299,88.493918,87.606903,116.781989,106.335452,88.259848,25.657055,36.507963,54.432361,64.497795,59.808818,68.821277,72.777425,84.870104,71.471107,86.414389,1,1,2,2
59.451032,69.971207,73.323163,83.454654,86.494035,79.908626,90.543791,91.511817,93.797371,98.644902,76.247155,71.748158,71.631803,66.104577,99.630596,98.306996,110.548496,126.694858,117.594319,115.075541,46.018549,38.913398,72.618679,65.733547,89.988165,88.643095,90.916804,118.450998,109.229973,90.059983,54.314664,59.800856,85.241336,99.298993,114.711227,117.073758,113.021311,97.440119,106.643712,130.554107,1,1,2,1
58.641638,68.896885,72.455732,82.59883,85.965323,78.522278,89.316272,90.86239,93.071286,97.952884,75.782645,71.300308,72.026314,68.039404,100.063004,98.512318,110.931943,125.373439,115.871496,115.368676,44.856488,39.265878,68.402258,62.772877,88.060807,87.171522,90.095925,116.988314,106.363631,86.556964,53.56781,59.567334,85.202421,100.03447,113.720112,118.067036,113.3935,98.744089,106.776019,130.463438,1,1,2,1
58.124138,68.060818,72.137262,81.84486,85.133436,77.484983,88.818268,89.927222,92.591519,96.494818,75.207117,69.671404,71.116253,65.0048,99.202034,97.774902,110.716001,123.426286,117.835287,114.407947,44.661869,38.004106,70.90425,61.731117,87.734931,88.842472,89.626845,117.060353,107.642736,87.962966,29.252449,40.157279,58.03877,66.817322,62.49557,72.217747,75.618212,87.321412,75.463887,90.66342,1,1,2,2
59.644635,69.38693,73.239446,83.327392,86.401025,79.850638,90.453066,91.237297,93.784037,98.545923,75.417986,71.462388,71.364803,66.996078,99.721563,100.560825,110.892705,125.294243,118.285194,114.797821,38.242205,49.845204,57.964091,53.651244,55.711214,63.592977,67.195872,67.31032,68.415109,65.994883,52.849109,59.010455,85.139664,100.046623,112.997371,118.011662,113.821254,98.645935,107.222645,129.967913,1,1,1,1
60.96844,71.204903,74.591712,85.008183,87.976839,81.453496,91.510157,93.378809,95.395057,99.698126,76.977422,71.321942,71.623612,66.944126,98.938483,99.014842,111.643286,126.474213,117.39991,115.227485,45.099712,38.123309,70.583275,64.551109,89.39927,87.268284,90.676774,118.762071,109.229145,90.583227,53.684384,60.824819,85.054475,101.140135,114.910258,117.755435,113.681584,99.167932,106.173571,129.771794,1,1,2,1
58.523037,69.006471,72.005708,82.557067,85.139539,78.139843,89.734316,90.648268,92.506109,97.047697,75.886239,71.702603,73.782548,67.022605,99.416357,97.530234,111.273611,127.232748,118.526537,114.213373,43.691098,38.524959,68.735444,62.823418,86.990086,87.013022,88.912094,114.771851,105.888684,87.022578,28.200089,37.857863,56.59014,65.50228,60.695615,70.319662,74.55999,86.120013,72.926198,88.657484,1,1,2,2
59.216755,69.24609,72.080044,82.510419,85.591762,78.857242,89.9777,90.855209,93.049523,97.630864,36.149255,45.110247,79.119259,74.959574,78.372925,110.302531,90.813655,81.969565,118.318849,107.049417,47.38104,39.767838,70.362711,63.917134,89.150272,88.426863,90.922114,117.637715,107.975878,89.12755,26.715168,37.291272,56.429142,64.695608,60.183404,69.69235,73.154728,85.279009,71.993927,88.044761,1,2,2,2
58.705245,69.063372,72.646312,82.41379,85.417269,79.232144,89.615242,90.998018,92.754957,97.414031,36.092755,47.198201,79.549474,77.740968,80.746903,112.034659,94.418214,82.730583,121.280583,108.955612,44.073731,37.59417,70.077967,62.456602,86.07001,87.09901,87.614379,116.286912,105.992783,87.48748,28.149725,38.284531,56.363087,66.508354,60.312993,70.20489,74.364169,86.431374,72.874152,89.169682,1,2,2,2
59.545335,69.324944,72.591956,83.090419,86.099061,79.495328,89.91547,91.091502,93.504902,97.794734,35.683514,45.852251,78.771059,76.093223,78.008514,111.388746,93.786024,81.889958,117.796045,108.414801,35.70017,47.888801,55.629236,51.54886,53.037677,61.683777,64.282962,64.817322,65.747128,63.673099,27.498688,39.080954,57.269603,65.569072,62.146759,70.767295,74.556274,86.641799,73.87849,88.399399,1,2,1,2
58.810709,69.205426,72.430071,82.809562,85.929696,78.750673,89.771209,90.981632,93.028282,97.671738,32.198039,44.427143,75.997459,73.659984,76.594526,108.948027,89.856366,79.593464,117.753015,106.17435,36.997812,48.48483,56.837525,52.735531,54.510351,62.726813,65.67387,65.889484,66.646489,64.354701,27.487132,38.370998,56.687049,66.329771,60.813061,71.423206,75.402097,86.721101,72.915616,88.280444,1,2,1,2
58.641368,69.169032,72.400613,82.307134,84.872009,78.697858,89.382843,90.87956,92.899103,97.410715,36.340682,44.957831,78.933689,75.019876,78.780926,109.965208,95.081687,80.407812,119.36252,107.320864,46.139841,39.876239,71.782947,65.151967,89.83154,90.608704,90.605089,117.236591,110.387007,90.481777,52.018963,59.710724,83.49451,98.91428,113.028778,116.571888,112.167907,97.69717,106.212126,129.112656,1,2,2,1
59.270162,69.398105,72.599395,82.802439,85.653683,79.466521,90.011785,91.009592,93.150703,97.948586,35.047846,43.342545,78.218876,72.362844,74.83627,109.464621,89.035933,79.728737,117.395014,105.48486,42.69068,39.180959,69.490204,62.423406,87.339488,86.874627,91.129834,116.953313,107.265757,87.789003,54.591847,60.93322,85.428106,99.667331,113.903353,117.632432,114.869529,97.747615,106.42146,129.310941,1,2,2,1
58.733479,69.074593,72.699067,82.866622,85.655941,78.822856,89.566796,91.075422,92.929858,97.982095,75.606683,71.65635,73.714034,66.724772,99.365373,99.834451,112.09504,126.730012,117.102811,116.365811,36.680393,47.878263,56.043346,51.788897,53.485154,61.964622,65.103642,65.378271,65.840813,64.143681,27.750811,37.354299,56.182903,66.165628,62.116777,70.489329,75.054107,86.220539,73.495243,89.03117,1,1,1,2
58.530168,68.770286,72.149921,81.937829,84.926792,79.10991,89.492086,89.997567,92.234806,96.99351,35.433319,45.8152,77.153485,74.47469,77.44723,110.379191,91.125439,80.234438,119.151497,106.691223,36.634266,48.330295,56.331968,52.155034,53.929758,62.305993,65.282386,65.470309,66.609976,64.314925,25.421884,36.26851,54.505154,63.655156,60.131119,68.023777,71.947902,84.361166,70.975249,86.920913,1,2,1,2
57.105108,66.839579,70.559674,80.761473,83.475188,76.989021,87.352978,88.673612,90.676423,95.482485,74.890795,73.333356,73.101349,66.452738,100.423085,100.159865,112.699582,124.544372,117.232987,114.914832,44.325673,39.563606,71.085121,62.991586,88.760653,87.552577,90.510915,115.536271,107.717704,89.66213,54.919085,60.057829,86.685709,101.1284,115.673043,120.075311,115.573588,100.078153,107.641541,130.92046,1,1,2,1
58.784109,69.236102,72.050834,82.599685,85.61338,78.877261,90.01133,90.894094,92.498383,97.948108,78.489181,72.98431,73.804625,67.709775,100.76198,99.97277,111.889085,125.104793,118.9109,115.419759,36.885032,48.507567,56.694906,52.592805,54.376328,62.732844,65.69534,66.002998,66.857911,64.710149,52.273622,60.257816,85.180745,99.674952,114.175669,118.374859,113.797394,96.774936,106.749625,130.21923,1,1,1,1
58.496225,68.727724,72.3548,82.052908,85.07018,78.837482,89.248675,90.206993,92.508714,97.744391,35.905021,45.084835,78.684017,76.385616,78.988058,111.366234,91.452547,80.076802,120.671706,107.557931,36.208233,47.824554,55.756119,51.604331,53.1088,61.596746,64.856039,65.044497,66.077404,63.987843,27.577459,38.169232,56.001083,66.01374,61.008746,70.338087,74.761651,85.584055,72.84479,88.420843,1,2,1,2
61.029451,70.980295,74.608268,84.499831,87.375123,80.721948,91.953146,92.811878,94.543024,99.592955,76.304346,70.677875,74.532192,66.881822,99.005013,98.254354,109.040862,124.785368,116.735377,115.007179,36.586542,48.135642,56.472853,52.043601,54.048143,62.247818,65.203391,65.368856,66.454469,64.609826,52.846218,59.507213,83.557903,99.086711,113.830968,117.29234,112.49916,96.899931,104.622726,128.320847,1,1,1,1
60.062635,70.117419,73.675388,83.761169,87.031,80.133372,90.795481,92.334903,94.288353,99.102193,77.75889,73.627602,73.59507,67.875776,99.803543,100.340699,109.574315,125.650942,117.213631,116.117211,36.483406,48.598717,56.282614,52.317804,54.27112,62.361442,65.480018,65.870072,66.674841,64.540969,26.3765,37.743358,56.620209,64.804218,60.623063,69.853728,74.312526,85.860228,72.556348,87.892173,1,1,1,2
58.279048,68.395677,71.839045,81.914164,85.080462,78.0912,89.322396,90.619039,92.247754,96.988739,35.893823,45.972239,79.205645,75.240728,78.969778,111.402674,91.920502,81.582509,120.295003,107.969384,46.098865,38.558959,69.456284,62.680018,88.161503,86.959508,89.693654,117.220526,107.34621,88.381488,25.848635,36.710353,55.767111,64.561386,59.994317,68.813206,72.743847,84.841835,71.815554,87.444461,1,2,2,2
58.2311,68.510766,71.52442,81.893807,84.901146,78.760739,88.754741,90.266905,92.295199,96.804887,36.193915,46.2453,78.986482,76.462699,79.526957,109.71204,92.803174,82.833366,119.460643,106.107699,38.14703,49.961441,57.790982,53.532046,55.71297,63.537945,66.711255,67.182453,67.758924,65.905279,52.971175,61.514099,84.495547,99.147817,114.774886,118.556281,113.399383,98.404482,107.355807,128.75329,1,2,1,1
58.927439,68.450647,72.508093,82.400687,85.310778,79.058074,89.218362,90.501742,92.966107,97.176734,77.496973,72.050232,72.318696,66.310918,99.94539,100.824541,110.915893,125.632259,118.827506,114.941715,38.079295,49.989914,57.928009,53.891625,55.358874,63.791702,66.907659,67.154459,68.144348,66.030084,52.96789,60.218077,85.19272,99.774125,115.049889,118.997228,114.740084,97.487732,107.291674,131.113214,1,1,1,1
60.747282,70.617984,74.29534,84.126091,86.947946,81.092602,91.221335,92.59243,95.150499,99.524456,34.862733,45.074706,78.136799,74.796329,76.718155,110.03305,90.664826,79.997879,118.319681,104.489421,44.025846,38.101882,70.106996,63.005531,87.256436,87.81162,90.337978,115.743406,108.405026,89.163359,28.180686,39.134158,56.04582,65.962799,62.070113,70.115759,74.825465,85.986644,74.543267,88.995078,1,2,2,2
58.400463,67.716871,71.73391,81.802687,84.704026,77.944423,89.081286,90.081486,92.142912,96.556231,75.37767,70.793212,73.375821,67.331309,99.419876,98.613692,110.68014,126.797291,117.675742,115.937807,36.165344,47.812566,55.797081,51.655872,53.935617,62.043017,64.551068,65.135212,65.566433,63.822849,26.165187,37.417175,54.79418,64.356627,60.121827,68.889128,72.621885,85.306859,71.982977,87.177824,1,1,1,2
58.928695,69.711032,72.637859,82.566376,85.726838,79.217291,90.299062,91.065405,93.263178,97.602303,76.152836,73.545704,72.188942,68.742816,100.236251,98.960955,111.432221,126.947332,118.551362,114.002376,37.543253,49.390617,57.275517,53.068504,55.038543,63.185802,66.026957,66.486823,67.236455,65.23113,27.11452,37.889527,56.140683,64.918592,60.509333,68.555749,74.78259,85.145434,71.609671,87.708998,1,1,1,2
60.339703,69.933348,73.112315,83.542473,86.887989,80.212316,90.289438,91.855748,94.423859,98.324351,34.274744,43.851076,77.033511,71.56632,78.420189,110.420004,90.656983,79.082949,117.086552,105.040449,44.938888,37.798502,70.651451,61.6491,86.325616,85.973709,90.418954,115.435601,106.952396,88.938605,28.906361,38.279436,58.212096,67.102175,62.245268,71.212515,74.924634,87.402364,74.175948,89.403198,1,2,2,2
60.425994,69.848379,73.432526,83.791713,86.739566,79.595928,90.351059,91.8463,94.186046,98.611641,77.133469,72.346908,72.579671,67.9285,101.54304,100.396354,111.700294,126.230483,117.351838,116.275877,38.69243,50.178293,58.104349,53.974485,56.077165,64.229685,66.991434,67.616106,68.314156,66.13956,28.523843,40.240973,57.279747,67.008338,61.691185,70.657579,75.356659,87.412557,73.565623,89.096118,1,1,1,2
58.820129,69.046421,72.484247,82.512545,85.60009,78.709006,89.16841,90.361438,93.294542,97.770558,76.510693,72.882676,72.436995,67.026158,100.526509,99.643094,109.431043,125.200931,117.932098,114.314881,47.315589,39.634596,71.037279,65.645737,89.210618,88.771759,91.557412,117.845647,109.816187,90.272914,28.507796,38.805967,58.172512,67.28591,62.442147,71.27668,75.82978,87.855333,74.064519,90.905274,1,1,2,2
59.172906,69.410218,72.535365,82.674157,85.574791,79.100581,89.847336,91.215666,93.085853,97.979628,76.220094,73.02601,71.041109,66.061716,100.639537,99.692618,109.259971,125.725961,117.648638,114.01852,36.412111,47.578513,55.694951,51.395909,53.147621,61.683506,64.885179,65.128056,65.942634,63.656743,53.953213,58.90247,84.895036,97.944621,114.44499,116.82034,113.685373,97.964359,105.216144,128.642343,1,1,1,1
59.970667,70.537574,73.838333,83.96015,86.61088,80.031535,91.158822,92.117891,94.320549,99.237967,35.152433,45.877823,78.163695,74.444858,78.022015,109.684289,92.537216,81.843198,122.142111,109.598291,44.145295,40.165487,70.977684,65.052792,85.795774,87.362078,90.117946,116.502386,109.12643,88.055799,26.966614,37.14468,55.902384,65.216435,60.870852,69.954884,74.075239,85.436092,72.003796,87.018189,1,2,2,2
60.51072,70.1764,73.451488,83.776406,86.950291,80.109651,90.332859,91.914758,94.63999,99.146476,76.312265,71.973491,72.546929,68.503869,99.620486,99.125492,110.810469,126.837909,118.813836,115.569623,36.202237,47.877006,55.945425,51.693689,53.690352,61.546172,64.906236,64.909435,65.901238,63.671974,26.348641,37.394058,55.515411,64.832405,60.953364,68.586059,72.315223,84.599315,72.181744,88.296261,1,1,1,2
58.158562,68.387682,71.87946,82.471751,85.059562,78.768976,89.016965,90.253527,92.319542,96.620118,75.672083,72.880955,70.934469,67.227119,99.32791,98.081759,111.213785,126.908194,117.391761,115.467041,35.36172,46.782305,55.080961,50.664909,52.612437,60.820652,63.914451,63.915016,65.007084,62.665168,27.439983,38.881529,57.550262,65.804248,61.535547,70.453153,74.241153,86.955073,73.119902,87.752923,1,1,1,2
