@relation 60dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute dim41 numeric
@attribute dim42 numeric
@attribute dim43 numeric
@attribute dim44 numeric
@attribute dim45 numeric
@attribute dim46 numeric
@attribute dim47 numeric
@attribute dim48 numeric
@attribute dim49 numeric
@attribute dim50 numeric
@attribute dim51 numeric
@attribute dim52 numeric
@attribute dim53 numeric
@attribute dim54 numeric
@attribute dim55 numeric
@attribute dim56 numeric
@attribute dim57 numeric
@attribute dim58 numeric
@attribute dim59 numeric
@attribute dim60 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}
@attribute class5 {1,2}
@attribute class6 {1,2}

@data
69.498215,41.619745,72.934725,75.951622,86.778778,52.887325,63.396162,57.587608,92.448186,76.70367,37.167013,58.405903,40.323511,51.499001,59.146525,73.723202,97.991468,108.438338,106.128132,118.730332,23.720226,60.713885,71.004129,69.119649,105.641898,104.387166,101.218999,86.958095,102.836865,123.849952,40.744411,26.079025,71.457124,66.913667,48.121161,66.228175,68.930417,106.397335,92.926816,114.620102,69.686208,88.256045,104.772306,122.707322,99.867468,122.524038,105.977501,122.11378,108.522578,145.314392,28.330396,31.660108,34.265192,63.792975,82.768191,90.157187,90.081167,110.827507,101.242232,106.710018,1,2,1,2,2,2
69.876812,41.170155,74.4616,74.317365,86.160669,52.389545,65.623987,59.18785,93.23994,76.57678,20.042593,37.788008,60.561046,63.788569,60.757878,70.995105,64.10393,63.865125,65.715139,81.333212,23.709167,60.255629,73.176504,69.722565,104.434991,105.694471,102.267515,88.092724,102.259658,123.392449,65.455103,53.102539,76.7775,71.292354,63.851666,107.314535,74.535525,89.034439,105.925859,112.28476,74.10842,78.002439,75.242438,45.754801,90.175336,52.333328,100.432001,71.753169,98.849956,81.887377,40.565474,65.750942,52.561846,80.06177,36.185118,49.130212,57.318533,74.701831,67.440788,88.415186,1,1,1,1,1,1
68.524428,41.894434,73.779839,75.130708,86.359761,53.106761,64.312084,57.959235,92.370275,75.845393,39.044373,59.309636,41.969101,52.955164,59.701349,73.746625,97.375565,109.689253,105.97499,119.845161,71.552273,83.194091,105.348165,119.69712,117.877412,127.238965,136.308027,132.332151,118.010541,127.531688,40.458187,28.977502,72.411493,66.216126,48.516532,66.185068,68.200539,106.521657,93.478305,115.639143,74.94382,79.981592,75.476303,44.806332,90.684361,52.645923,100.08581,71.362292,95.648002,83.414685,41.04099,64.481653,55.468176,79.553867,35.819204,48.252575,57.309861,74.481523,64.549486,87.229114,1,2,2,2,1,1
69.584854,42.038734,72.260748,74.925619,87.497115,53.839818,64.864386,58.162684,90.557049,76.133661,36.344869,57.94539,39.378486,52.389681,59.659673,74.265308,97.203552,108.931227,105.461967,120.348495,68.874206,81.757361,102.854472,117.114629,115.542427,124.259131,133.765119,130.050389,115.683807,125.189857,67.241163,55.109998,77.803823,71.339738,65.741184,108.072656,76.315851,89.955054,106.650676,113.81728,68.959611,87.391896,103.96005,123.368778,99.410167,122.522954,104.768416,121.958142,110.267492,144.984864,29.630198,32.391452,35.247316,64.198762,83.43666,91.641018,90.342062,110.414142,101.882922,109.036929,1,2,2,1,2,2
68.700343,41.888702,73.135992,74.599002,87.758241,52.665063,64.703311,59.467808,91.729347,75.672865,39.476939,58.948201,40.868472,51.977033,58.718205,74.588123,98.795253,109.056532,106.272297,121.169561,24.104632,61.493611,72.770526,69.024647,106.100809,106.122379,101.176451,89.690194,103.526208,123.923807,63.74036,53.094551,76.272862,69.610336,63.097417,106.644549,72.918847,88.619733,103.972232,113.215011,74.781003,78.729968,76.337551,44.942534,92.146657,51.432924,100.579184,69.619902,94.586133,82.154199,39.353735,67.009234,52.75288,81.25003,34.969688,49.413894,60.051692,75.126109,66.218698,88.371544,1,2,1,1,1,1
71.697047,42.745415,73.693253,74.390467,91.281216,54.963603,64.684868,59.227228,94.999059,76.789564,18.176286,37.50425,59.346438,61.747597,57.893848,69.748144,62.609128,61.980612,65.656477,79.860124,25.271647,59.32103,73.047207,69.035039,106.933758,106.088579,101.805477,89.006445,104.864596,123.351025,40.314398,27.977349,71.80835,67.238756,45.83372,64.150351,68.648745,106.846639,93.671319,116.127759,75.760534,80.634505,75.425237,44.167368,90.650187,52.328737,99.863848,72.102544,96.188227,81.761683,28.793741,32.028228,35.038509,64.200568,82.639186,90.074512,93.252849,110.106047,102.252702,105.32266,1,1,1,2,1,2
70.213191,42.385586,73.906512,74.715113,88.735386,53.117583,66.899791,59.466797,93.129992,74.646292,38.980695,58.855697,39.093401,51.725594,58.883029,73.678108,96.92677,109.261165,105.592818,120.767859,24.029528,60.366026,73.259886,68.969384,106.169516,105.725889,103.027659,87.817672,102.784648,123.997001,66.57736,54.090286,76.64217,70.235443,61.999748,107.352189,73.736273,87.602813,105.197444,111.050353,74.50151,78.762842,74.350906,44.545151,90.184727,52.638867,98.526717,70.448657,97.069244,81.33883,38.002866,63.533962,51.858704,79.074804,37.316447,49.212885,57.777332,74.382985,63.020474,88.94582,1,2,1,1,1,1
70.01379,41.276742,71.444534,75.074379,87.774269,53.433767,65.015624,58.4902,92.907905,73.935175,20.269823,38.601494,60.655686,63.535607,60.757931,71.037047,64.65652,63.668397,66.37029,81.417694,22.512183,60.142364,73.655302,68.28821,105.045982,103.896711,100.594604,87.277823,102.101135,122.335412,63.375388,51.511095,77.517476,69.228702,60.910283,107.043133,72.167659,87.860024,104.579093,110.124206,69.278104,86.889941,104.153314,122.102402,98.324366,121.979262,105.41369,121.839003,109.790609,145.377545,27.717526,31.574207,33.62616,63.956803,82.624958,90.406628,90.363763,110.527576,102.591519,106.246704,1,1,1,1,2,2
67.62602,39.953339,72.857968,72.853035,87.056086,51.905921,64.15165,57.18973,90.945092,73.689027,37.600656,57.966829,40.198247,53.703618,59.41555,72.779033,99.065051,108.638858,104.212099,120.180006,25.346283,60.648458,72.714271,67.946883,105.415277,105.082619,100.385762,88.252826,101.68058,123.261437,40.030502,27.219183,72.510942,65.777095,47.884333,65.420828,69.670954,107.652938,91.915284,115.050461,67.808512,86.067961,104.142041,122.337707,98.019303,121.035805,105.412124,121.565773,106.596086,144.562408,39.078547,65.219922,53.724977,81.083985,36.980466,50.479957,58.608217,74.059636,64.166702,88.955076,1,2,1,2,2,1
71.147892,41.609913,73.235742,76.569812,88.139428,53.958606,64.788325,59.357306,92.80541,76.953793,37.88468,58.925905,39.929082,52.034428,58.986996,72.514802,98.063938,107.348292,103.772632,120.54974,70.838864,83.493309,104.805845,119.334889,117.868079,127.506371,136.268741,131.340362,117.605323,127.182167,39.836309,29.119694,71.0589,64.689348,46.743093,63.747486,68.287217,104.935297,92.095941,114.685292,66.740473,87.162567,102.074461,121.880872,97.35984,122.064301,104.181479,120.540177,107.481329,144.389084,37.134984,63.789651,53.066378,81.720647,37.048612,48.896651,59.057518,74.094285,63.141377,89.376381,1,2,2,2,2,1
69.643314,41.707465,73.381789,73.685493,87.386731,53.35934,65.046656,57.909227,92.178041,76.231944,21.354735,38.913234,61.339649,64.825527,61.288592,72.167473,65.435698,64.794031,66.933165,81.82148,24.198254,59.285008,71.850331,67.412899,105.136186,105.162698,101.890399,87.591725,100.934983,123.643378,39.87351,25.516185,70.880144,67.280285,46.825197,63.930327,66.636088,106.527292,91.539653,113.628524,76.495306,80.052949,75.135998,45.414866,90.368023,52.587493,99.776854,71.279435,97.247491,82.720834,25.845907,32.664711,35.82191,65.121846,81.782758,90.009078,91.430856,110.558547,102.610988,108.082909,1,1,1,2,1,2
70.372489,41.639044,72.21795,75.221212,87.255858,52.290404,66.484191,58.877274,92.045821,76.628339,39.508139,59.365451,42.127309,51.944479,59.507698,74.859429,99.798695,107.818916,105.385885,121.905607,22.479261,60.307391,72.257046,67.926443,106.534929,105.57282,100.312361,89.086318,103.93007,123.31968,39.651122,26.625626,72.933664,65.364122,45.272448,63.98747,66.351781,104.29721,91.326158,112.989053,77.221374,78.67652,75.073245,45.900258,89.602721,52.635625,99.970452,71.066913,94.441762,79.96607,39.851112,66.514069,52.420331,81.586183,36.458628,48.488371,59.823181,76.122297,62.745949,89.971027,1,2,1,2,1,1
71.595014,42.467802,75.190911,75.181983,86.921058,52.829287,66.386442,58.565908,93.69445,75.576327,37.28341,60.128866,38.489988,52.406277,60.222297,74.442802,100.060376,108.120665,105.012222,120.183384,70.351121,83.334516,103.372979,118.997113,117.88932,126.710328,135.640091,130.366131,117.487366,127.46257,64.230044,54.523016,76.731886,70.138301,63.228384,105.858497,73.10746,87.889328,105.498339,111.4279,73.582758,78.649276,73.817616,44.47573,91.239475,51.401344,98.638408,69.819368,96.105966,81.197739,27.469345,32.335525,33.595659,63.195058,84.002348,91.660351,90.903669,109.96976,101.871194,107.681587,1,2,2,1,1,2
69.751691,41.527999,74.446624,76.236632,87.152402,53.61723,67.810591,58.811518,92.948349,75.865858,18.430665,37.120473,59.818591,63.146813,58.920784,70.148537,62.896041,62.544469,64.445565,79.795598,70.376005,82.897872,103.741702,118.76824,117.295256,125.831349,135.190274,130.749922,117.073872,126.973986,64.26785,54.882642,76.083876,69.898493,62.728015,105.722467,73.453458,86.990397,104.505776,112.557551,66.597371,86.289299,102.513429,121.19995,97.65824,120.366262,103.004465,120.069323,106.71802,143.614586,26.747124,32.021344,33.874775,63.497474,82.066952,90.233239,89.304571,110.919512,101.916268,107.72537,1,1,2,1,2,2
70.10527,42.492838,72.714873,75.314103,87.969113,53.986291,65.462167,58.23794,93.116205,76.075784,39.306641,60.356068,39.915756,53.237451,60.729758,76.078892,99.689768,108.256497,107.325539,121.075036,72.024565,84.536457,104.669941,119.959089,117.81619,126.657908,136.992503,132.192092,117.825421,127.301423,38.86625,24.628277,70.956771,65.492241,46.415611,64.787835,68.55927,106.157616,92.307547,116.37705,74.714074,79.536741,75.062164,45.421073,92.147567,53.32916,99.522681,70.098108,95.748791,81.147961,38.27307,65.858638,52.720114,80.429599,37.194445,47.29714,57.152411,74.378515,65.287966,87.918053,1,2,2,2,1,1
68.484141,41.708751,73.240105,78.066172,87.66042,53.737463,65.2187,58.493546,93.360088,75.603084,20.873139,38.621595,62.226921,64.444903,60.777269,72.547945,64.856042,64.708485,67.305537,81.456057,23.725067,58.81663,72.196393,67.015572,105.010102,102.565089,100.824242,88.903219,103.000129,123.641883,40.779413,26.864336,71.796425,65.33545,45.100203,64.80065,68.153607,106.563637,93.78451,115.095735,70.024862,86.757538,104.793986,124.904511,100.712826,124.103375,106.542829,123.911084,109.336278,146.0745,39.131435,65.995791,53.883115,80.4765,38.370369,47.284834,57.986208,74.253611,64.991217,89.22523,1,1,1,2,2,1
70.647358,41.291685,72.682369,73.942521,87.815059,52.736524,66.004738,57.92129,91.285221,75.885212,20.867512,38.636918,61.105075,63.365554,60.757717,71.186907,63.566122,64.081434,66.595759,81.851006,24.693644,59.804447,72.51809,67.871242,105.248459,105.58617,102.351063,88.773944,101.522265,124.508952,38.367595,26.94566,73.009288,65.629805,44.557605,64.090773,65.298813,105.903146,91.069676,113.067727,74.546004,80.081655,75.187484,46.448235,91.626147,52.641893,100.511384,71.837124,97.779576,81.842657,27.45864,31.989562,32.395033,64.202769,82.154031,92.729602,92.457362,111.321693,101.662942,108.280607,1,1,1,2,1,2
70.666437,41.278949,72.944954,75.263337,86.790993,52.718198,64.854562,57.931066,90.802989,76.503851,21.499203,39.203827,61.51595,64.921913,60.83522,71.873435,65.048562,65.165928,67.219516,81.526025,71.776822,83.792195,104.866574,120.191777,118.956997,128.596842,137.690816,130.990176,119.033107,128.547829,65.157051,54.159071,75.819726,69.666608,64.898858,106.986499,72.22,90.276507,106.188944,111.086523,75.590128,79.095786,75.244704,42.717666,91.620459,52.011019,99.358645,71.059458,94.770627,81.793975,38.439176,63.368273,52.412378,82.387432,37.323613,48.294809,59.220037,75.331445,65.037351,88.343942,1,1,2,1,1,1
71.106256,40.366306,72.694125,75.339601,85.83812,53.814271,66.951833,57.980509,90.706026,75.286842,19.17509,38.825217,60.867366,63.699813,60.237649,71.035299,63.684765,63.463811,65.338264,80.532245,69.883169,81.225777,102.638145,117.854514,116.417017,126.074067,134.265685,129.343969,116.033602,125.92969,40.235018,26.540408,71.798778,65.529411,44.098496,63.319801,67.098176,106.027978,91.260768,113.843276,74.261985,80.387518,73.571734,42.832555,92.072074,53.641219,98.972371,71.687285,98.922011,81.215609,38.031869,65.047667,53.649733,80.349682,36.155977,47.957768,57.817737,73.878794,64.457991,89.764332,1,1,2,2,1,1
67.610059,41.85675,73.757259,75.470814,86.826876,54.206789,62.232268,59.409451,91.966904,75.15524,39.505055,59.149589,40.244621,54.468619,60.594486,74.716095,98.945751,108.458565,105.447522,120.918668,69.225304,82.353237,103.726074,118.647572,116.91394,125.382395,134.678994,130.482409,117.138014,126.520711,65.478853,53.467407,75.877317,68.615228,62.015377,105.588025,73.057812,88.020054,104.751479,111.625068,68.607563,87.539978,103.425496,123.462307,98.897103,121.855305,106.176633,122.112864,109.135886,144.831258,37.790726,66.471604,52.548409,80.584747,36.264649,47.771144,58.839214,73.994498,66.053292,89.94364,1,2,2,1,2,1
69.929622,41.627612,73.284625,75.132061,90.063882,52.596559,64.378229,58.548339,93.042607,76.572775,36.360961,57.125727,39.851687,51.969943,58.1055,73.272728,96.206995,106.574611,104.931172,118.279996,72.897547,85.336252,106.503065,120.415429,118.968697,128.239299,137.685496,132.972403,119.650892,128.619211,40.746074,27.26347,70.218279,66.379448,46.550396,64.839546,68.25254,105.930445,92.51804,113.247976,73.91721,78.171239,73.638896,45.94925,89.960148,50.955036,99.674873,70.032771,97.956191,81.808382,25.268153,31.798893,33.598518,63.517457,82.196156,90.107702,90.8032,108.700211,101.76051,107.754128,1,2,2,2,1,2
69.096011,40.626523,72.094102,74.392836,86.492731,55.619765,66.81167,56.203233,91.618528,75.922289,36.860734,58.44914,40.210279,50.66987,58.920762,72.291844,98.722932,108.565488,104.376037,119.391864,72.809807,84.79559,105.691916,120.514213,119.557622,127.015055,136.598542,132.82331,118.544353,129.027858,38.870256,27.871905,72.39039,64.865945,46.142872,64.16761,65.94279,104.621896,91.077593,114.173826,74.014307,79.125624,73.667849,43.068543,90.758644,50.625873,98.296283,70.927481,96.262215,81.916021,41.758725,66.451297,54.659178,80.351376,35.419954,49.04421,58.629334,75.541877,63.257965,90.296657,1,2,2,2,1,1
70.894013,42.170448,71.915745,73.47353,87.464409,54.026087,65.84624,58.117035,92.175527,75.868797,37.138316,59.4424,38.808836,53.51956,59.469769,73.048597,96.798996,108.029324,105.963074,118.619183,24.492913,61.036522,72.84779,69.575339,106.187713,108.052751,101.567273,89.863265,103.613211,124.728595,65.059775,53.847771,76.486697,70.010074,62.874515,104.993881,72.059091,87.43378,103.833427,111.30793,75.440034,79.88979,76.413823,43.772957,91.60219,52.226009,100.570023,72.268718,95.892688,81.749588,24.80481,31.770248,34.33889,62.720323,82.917564,89.804055,91.784584,112.554224,101.813813,108.354051,1,2,1,1,1,2
70.705478,42.316664,74.089938,75.683555,90.776469,53.144565,64.972057,57.549744,92.863457,76.070914,19.5325,38.108301,60.320573,62.963925,59.960094,70.484849,62.831579,63.14077,66.029229,80.950963,71.826231,83.218202,105.501766,119.635792,117.539624,127.028523,136.462888,131.958274,117.420641,127.939956,65.305572,53.284059,76.882108,71.622436,62.764216,107.241109,73.031986,89.062142,104.622868,111.731238,75.112369,79.430072,77.32711,44.174888,91.070745,51.932204,101.17565,71.515798,99.682387,81.448461,25.624104,31.146574,35.373889,64.479354,82.760476,91.275399,91.131491,110.752334,100.536245,107.372482,1,1,2,1,1,2
70.908267,43.590323,71.967817,73.683735,86.084549,54.526287,65.920052,58.72178,91.944807,76.365744,37.963706,60.183585,40.003759,50.890309,59.232463,74.134091,97.651036,109.111077,106.793683,120.747067,24.398677,60.229351,74.383592,69.024794,106.255386,106.344938,103.01333,90.176456,103.327712,125.474793,63.938506,52.570331,77.362626,70.865153,64.471527,105.668036,72.044273,87.880495,104.753774,109.793644,72.864907,79.367466,74.931994,43.662281,89.879134,51.994584,99.72132,71.501429,98.15322,80.839652,37.055133,65.685187,53.217251,79.493546,35.64732,49.38392,58.263658,75.782939,63.73493,88.038686,1,2,1,1,1,1
68.166487,43.053991,71.122366,74.785974,87.85393,53.237959,64.893546,57.795279,91.749584,75.907367,37.179163,59.726922,39.233774,52.011991,60.551621,73.915044,97.591099,108.104377,104.262523,120.65258,71.272553,82.6451,103.604757,118.727522,117.053233,125.676633,134.738452,130.969563,116.290542,126.635491,38.773623,26.06349,70.820159,66.054787,47.15041,65.844209,68.529349,106.028041,90.909922,112.604767,72.543003,78.643676,74.93672,44.195136,91.298489,51.366018,100.548098,71.75003,97.820963,80.868757,26.305718,30.840676,33.877008,61.911297,81.881365,91.227451,90.255094,108.57114,100.565296,107.437931,1,2,2,2,1,2
69.944629,41.426266,73.253476,75.339474,86.472757,52.506575,65.110551,58.316258,91.8196,75.026026,35.058088,58.856781,39.004381,52.025345,59.243555,73.180301,97.134381,107.419544,105.401173,119.57793,71.796543,84.610485,106.066671,120.615241,119.252982,127.499658,136.853011,131.906563,118.244653,128.719133,65.25547,53.279738,76.510661,68.654578,62.518802,106.289372,73.277488,87.870605,105.898201,110.060699,68.449554,86.776983,102.802134,123.190787,96.540601,121.409979,104.566978,120.346647,108.730142,144.799232,39.124882,65.61904,52.785413,81.569066,35.594493,48.587684,57.704565,74.303894,64.063334,89.491381,1,2,2,1,2,1
71.600342,42.462742,74.361292,74.86337,87.871688,52.842964,64.977661,59.07689,92.312366,75.688865,39.147459,59.521412,40.091826,51.688708,59.764792,73.707828,98.145165,108.418318,104.948741,120.096642,24.486267,59.917091,72.044976,68.751128,105.870984,104.722169,100.103709,87.273268,100.78983,123.917535,40.112728,26.874939,71.830996,66.461743,47.659599,65.2828,67.89163,107.544665,93.120229,114.679549,68.315747,87.920125,103.1597,122.694571,97.836079,122.095268,105.850306,124.122424,108.422883,145.514744,39.03539,66.023058,53.860037,79.64907,36.849719,49.797196,58.419867,75.100777,65.43915,89.4649,1,2,1,2,2,1
69.661044,41.192934,74.053283,75.632552,85.823674,54.943735,67.164439,57.434858,92.28432,76.170152,36.868875,58.500689,40.017748,52.012343,58.201413,73.489909,96.871947,107.647146,104.863776,118.996931,22.501898,59.595996,70.932215,67.585208,105.082608,104.508989,99.38832,86.80108,101.767106,122.068492,65.821995,53.117927,78.336415,71.735033,64.302284,107.860512,74.106369,89.457049,105.538711,113.037071,73.255133,78.711558,74.72471,45.423206,92.913386,52.595292,100.627344,71.432604,96.447841,81.294281,39.942151,65.640722,53.581199,82.018733,38.1589,48.919421,58.92442,73.890105,66.015248,88.643728,1,2,1,1,1,1
